index, AvgSSIM, MinSSIM
0, 0.998215, 0.984649
1, 0.994846, 0.958577
2, 0.991912, 0.936149
3, 0.989723, 0.923548
4, 0.988422, 0.916194
5, 0.987485, 0.910383
6, 0.986839, 0.905028
7, 0.986605, 0.905031
8, 0.986674, 0.907186
9, 0.986623, 0.907691
10, 0.986396, 0.907272
11, 0.986134, 0.905884
12, 0.986053, 0.903952
13, 0.986059, 0.904319
14, 0.98595, 0.903555
15, 0.986119, 0.904067
16, 0.986327, 0.904882
17, 0.986555, 0.904898
18, 0.986229, 0.900938
19, 0.986327, 0.899246
20, 0.986242, 0.899708
21, 0.986061, 0.901486
22, 0.985562, 0.898126
23, 0.98545, 0.896385
24, 0.985426, 0.892755
25, 0.985539, 0.896065
26, 0.985823, 0.898168
27, 0.985812, 0.900647
28, 0.986354, 0.90613
29, 0.987014, 0.911397
30, 0.987574, 0.919011
31, 0.988008, 0.923254
32, 0.988149, 0.922564
33, 0.988193, 0.921281
34, 0.98787, 0.91847
35, 0.987616, 0.915072
36, 0.98739, 0.913215
37, 0.986952, 0.907556
38, 0.986432, 0.902408
39, 0.986164, 0.896647
40, 0.985919, 0.893775
41, 0.985719, 0.894333
42, 0.986023, 0.894403
43, 0.986472, 0.897969
44, 0.98653, 0.893726
45, 0.986508, 0.888561
46, 0.986735, 0.892544
47, 0.986931, 0.894339
48, 0.986951, 0.889746
49, 0.986931, 0.884782
50, 0.986904, 0.885034
51, 0.986568, 0.883864
52, 0.986477, 0.886015
53, 0.986965, 0.890777
54, 0.987423, 0.890672
55, 0.987553, 0.892812
56, 0.987835, 0.893929
57, 0.987631, 0.892882
58, 0.987435, 0.893027
59, 0.987466, 0.897199
60, 0.987477, 0.898773
61, 0.987545, 0.89765
62, 0.987644, 0.899385
63, 0.987508, 0.900131
64, 0.987663, 0.900375
65, 0.987392, 0.899045
66, 0.987163, 0.892175
67, 0.986869, 0.892697
68, 0.986507, 0.891168
69, 0.986204, 0.886137
70, 0.985876, 0.882317
71, 0.985654, 0.881337
72, 0.985846, 0.881208
73, 0.986437, 0.889322
74, 0.986806, 0.892249
75, 0.986932, 0.893326
76, 0.987373, 0.895345
77, 0.987354, 0.893739
78, 0.986878, 0.895061
79, 0.986541, 0.893016
80, 0.98653, 0.89539
81, 0.986728, 0.899199
82, 0.987133, 0.905917
83, 0.988328, 0.914142
84, 0.989204, 0.921166
85, 0.98974, 0.926107
86, 0.989601, 0.926603
87, 0.989314, 0.923486
88, 0.988782, 0.917604
89, 0.988386, 0.911934
90, 0.987956, 0.907462
91, 0.987759, 0.906734
92, 0.987733, 0.90325
93, 0.988311, 0.904856
94, 0.98883, 0.902395
95, 0.98945, 0.902542
96, 0.989861, 0.9007
97, 0.990304, 0.898758
98, 0.990538, 0.898919
99, 0.990646, 0.899734
100, 0.990637, 0.902487
101, 0.990725, 0.90173
102, 0.990936, 0.903302
103, 0.990989, 0.903031
104, 0.991053, 0.901946
105, 0.991145, 0.903191
106, 0.991089, 0.903165
107, 0.990685, 0.90039
108, 0.990235, 0.901373
109, 0.98994, 0.898736
110, 0.989846, 0.903918
111, 0.989994, 0.905177
112, 0.990144, 0.910538
113, 0.990132, 0.914077
114, 0.990077, 0.916321
115, 0.990399, 0.92266
116, 0.99042, 0.919117
117, 0.990323, 0.917816
118, 0.99019, 0.915295
119, 0.990103, 0.913649
120, 0.989796, 0.910202
121, 0.989747, 0.909662
122, 0.989261, 0.90876
123, 0.988777, 0.907117
124, 0.988308, 0.90455
125, 0.987839, 0.903237
126, 0.987387, 0.898994
127, 0.986983, 0.898751
128, 0.986682, 0.89522
129, 0.986466, 0.893396
130, 0.986492, 0.893818
131, 0.986263, 0.89575
132, 0.986201, 0.894327
133, 0.986151, 0.89096
134, 0.986405, 0.889631
135, 0.986714, 0.891988
136, 0.986938, 0.894732
137, 0.98724, 0.898893
138, 0.987227, 0.900627
139, 0.987171, 0.902328
140, 0.987326, 0.902852
141, 0.987521, 0.903777
142, 0.987803, 0.903725
143, 0.988019, 0.905755
144, 0.988017, 0.905754
145, 0.988155, 0.907962
146, 0.988315, 0.909166
147, 0.988432, 0.910135
148, 0.98848, 0.910135
149, 0.988743, 0.912904
150, 0.989154, 0.913126
151, 0.989314, 0.913996
152, 0.989422, 0.917394
153, 0.989543, 0.918623
154, 0.989765, 0.918823
155, 0.989695, 0.916924
156, 0.989388, 0.914091
157, 0.98912, 0.911684
158, 0.988787, 0.907918
159, 0.988861, 0.908094
160, 0.988953, 0.905986
161, 0.989007, 0.902976
162, 0.988842, 0.901991
163, 0.988931, 0.900384
164, 0.98878, 0.900118
165, 0.988829, 0.900681
166, 0.988774, 0.902363
167, 0.98887, 0.905493
168, 0.988924, 0.906081
169, 0.988889, 0.907037
170, 0.98882, 0.905016
171, 0.988732, 0.905234
172, 0.988558, 0.906519
173, 0.988575, 0.908117
174, 0.988713, 0.909928
175, 0.988515, 0.907214
176, 0.988214, 0.907491
177, 0.987777, 0.906834
178, 0.98739, 0.902698
179, 0.987188, 0.905534
180, 0.987073, 0.905383
181, 0.987025, 0.90682
182, 0.987029, 0.909908
183, 0.986945, 0.912879
184, 0.986896, 0.912629
185, 0.986881, 0.912636
186, 0.986924, 0.914235
187, 0.987029, 0.915972
188, 0.987025, 0.917421
189, 0.986925, 0.91704
190, 0.986702, 0.916757
191, 0.986623, 0.916414
192, 0.986459, 0.91563
193, 0.986373, 0.915756
194, 0.98629, 0.913619
195, 0.986257, 0.913219
196, 0.986308, 0.913841
197, 0.986472, 0.913689
198, 0.986623, 0.915058
199, 0.986675, 0.916039
200, 0.986675, 0.91645
201, 0.986701, 0.91484
202, 0.986754, 0.914479
203, 0.986669, 0.914271
204, 0.986542, 0.914023
205, 0.986414, 0.913602
206, 0.986396, 0.915178
207, 0.986432, 0.914937
208, 0.98636, 0.913515
209, 0.986314, 0.913526
210, 0.986377, 0.914197
211, 0.986462, 0.91547
212, 0.986311, 0.914937
213, 0.986238, 0.914536
214, 0.986126, 0.913822
215, 0.985972, 0.912024
216, 0.985718, 0.909206
217, 0.985793, 0.905453
218, 0.98587, 0.907379
219, 0.985975, 0.906849
220, 0.98607, 0.908582
221, 0.986161, 0.911034
222, 0.986145, 0.911826
223, 0.986212, 0.913779
224, 0.986197, 0.914182
225, 0.986099, 0.914103
226, 0.985977, 0.912763
227, 0.985687, 0.910637
228, 0.985558, 0.911733
229, 0.985313, 0.912059
230, 0.984917, 0.910359
231, 0.984728, 0.911292
232, 0.98434, 0.909044
233, 0.984282, 0.907897
234, 0.984074, 0.906565
235, 0.984168, 0.907396
236, 0.984687, 0.907019
237, 0.984833, 0.906619
238, 0.984882, 0.90686
239, 0.984963, 0.906384
240, 0.985219, 0.907665
241, 0.9855, 0.90887
242, 0.985473, 0.910294
243, 0.985466, 0.910721
244, 0.985483, 0.910099
245, 0.985599, 0.909783
246, 0.98558, 0.906939
247, 0.985641, 0.905619
248, 0.985418, 0.902301
249, 0.985278, 0.901547
250, 0.98529, 0.89832
251, 0.985491, 0.899683
252, 0.985658, 0.900422
253, 0.985709, 0.902955
254, 0.985564, 0.905194
255, 0.985473, 0.906271
256, 0.9852, 0.904646
257, 0.984804, 0.904346
258, 0.984502, 0.902988
259, 0.98411, 0.903556
260, 0.983773, 0.905398
261, 0.983732, 0.905708
262, 0.98407, 0.907571
263, 0.98425, 0.909337
264, 0.98422, 0.910744
265, 0.984013, 0.910808
266, 0.983658, 0.911957
267, 0.983253, 0.913118
268, 0.983053, 0.913733
269, 0.982873, 0.916466
270, 0.982736, 0.917825
271, 0.982783, 0.919733
272, 0.982648, 0.920962
273, 0.982595, 0.920106
274, 0.982495, 0.919787
275, 0.982332, 0.917652
276, 0.981998, 0.917473
277, 0.981747, 0.916932
278, 0.981554, 0.915049
279, 0.981299, 0.913022
280, 0.980929, 0.910051
281, 0.980493, 0.909272
282, 0.980555, 0.908561
283, 0.980961, 0.908345
284, 0.981171, 0.90771
285, 0.981321, 0.909312
286, 0.981227, 0.910445
287, 0.981406, 0.911856
288, 0.981994, 0.91315
289, 0.982448, 0.915807
290, 0.982834, 0.91542
291, 0.982945, 0.911586
292, 0.982808, 0.908591
293, 0.982874, 0.904693
294, 0.982985, 0.904647
295, 0.983242, 0.908502
296, 0.983426, 0.912117
297, 0.983546, 0.915649
298, 0.983854, 0.916891
299, 0.983902, 0.919028
300, 0.98357, 0.916954
301, 0.983058, 0.914414
302, 0.982637, 0.90979
303, 0.982362, 0.90532
304, 0.981569, 0.902257
305, 0.980847, 0.901854
306, 0.979842, 0.899174
307, 0.978578, 0.894494
308, 0.97762, 0.89341
309, 0.976821, 0.891472
310, 0.976386, 0.894886
311, 0.97625, 0.894946
312, 0.976005, 0.891786
313, 0.975835, 0.893896
314, 0.975535, 0.894523
315, 0.975165, 0.892054
316, 0.975165, 0.890253
317, 0.974898, 0.889421
318, 0.974463, 0.889649
319, 0.974012, 0.890139
320, 0.973506, 0.89061
321, 0.973114, 0.889619
322, 0.972737, 0.885694
323, 0.972513, 0.883482
324, 0.972346, 0.882881
325, 0.97243, 0.885025
326, 0.972566, 0.886407
327, 0.972459, 0.88626
328, 0.972432, 0.885547
329, 0.97247, 0.881922
330, 0.973021, 0.88389
331, 0.973246, 0.88165
332, 0.973519, 0.880913
333, 0.973966, 0.879168
334, 0.974153, 0.876721
335, 0.974431, 0.873362
336, 0.974287, 0.870583
337, 0.974094, 0.868306
338, 0.973827, 0.865987
339, 0.973897, 0.86676
340, 0.973995, 0.866913
341, 0.974019, 0.865368
