index, AvgSSIM, MinSSIM
0, 0.998279, 0.984102
1, 0.99583, 0.960586
2, 0.994275, 0.943281
3, 0.993414, 0.933306
4, 0.993349, 0.930371
5, 0.993473, 0.929454
6, 0.993641, 0.929014
7, 0.994003, 0.931643
8, 0.994438, 0.935192
9, 0.994682, 0.935816
10, 0.994823, 0.937729
11, 0.994918, 0.941204
12, 0.99502, 0.941119
13, 0.995177, 0.941897
14, 0.995192, 0.939916
15, 0.995448, 0.938226
16, 0.995723, 0.941403
17, 0.996002, 0.943482
18, 0.995837, 0.941988
19, 0.995838, 0.946476
20, 0.995736, 0.94795
21, 0.995617, 0.951076
22, 0.9953, 0.952329
23, 0.995206, 0.952541
24, 0.99528, 0.952279
25, 0.995428, 0.951836
26, 0.995657, 0.95373
27, 0.995905, 0.956054
28, 0.996422, 0.964674
29, 0.996992, 0.969812
30, 0.997314, 0.973718
31, 0.997637, 0.971103
32, 0.997832, 0.980544
33, 0.998051, 0.979395
34, 0.998165, 0.980229
35, 0.998226, 0.981717
36, 0.998282, 0.980948
37, 0.998196, 0.980539
38, 0.998013, 0.980231
39, 0.997965, 0.979029
40, 0.997883, 0.975749
41, 0.997787, 0.97288
42, 0.997867, 0.971369
43, 0.997989, 0.968026
44, 0.997858, 0.962426
45, 0.99773, 0.959442
46, 0.997802, 0.960506
47, 0.997923, 0.962501
48, 0.997942, 0.962054
49, 0.99807, 0.964668
50, 0.998199, 0.967452
51, 0.99848, 0.9711
52, 0.998794, 0.979937
53, 0.999114, 0.981735
54, 0.999279, 0.984438
55, 0.999346, 0.985225
56, 0.999392, 0.984877
57, 0.999376, 0.984936
58, 0.999353, 0.984761
59, 0.999353, 0.98493
60, 0.999306, 0.98526
61, 0.999289, 0.987176
62, 0.999235, 0.986542
63, 0.999128, 0.98539
64, 0.999106, 0.983503
65, 0.999039, 0.982583
66, 0.999027, 0.983445
67, 0.999091, 0.985007
68, 0.999209, 0.988247
69, 0.999222, 0.987433
70, 0.999269, 0.988862
71, 0.999319, 0.989425
72, 0.999383, 0.988352
73, 0.999467, 0.987672
74, 0.999465, 0.986635
75, 0.999467, 0.987041
76, 0.999465, 0.987309
77, 0.999436, 0.986775
78, 0.999382, 0.986463
79, 0.999426, 0.985732
80, 0.99948, 0.983121
81, 0.99946, 0.980916
82, 0.99947, 0.981032
83, 0.999473, 0.982955
84, 0.99951, 0.983079
85, 0.99955, 0.983748
86, 0.999687, 0.989651
87, 0.99966, 0.989486
88, 0.999543, 0.988301
89, 0.999449, 0.987284
90, 0.99935, 0.986416
91, 0.999287, 0.985903
92, 0.999315, 0.984943
93, 0.999293, 0.983472
94, 0.999131, 0.982089
95, 0.998995, 0.978988
96, 0.998841, 0.978612
97, 0.998589, 0.978292
98, 0.998309, 0.977311
99, 0.99798, 0.975154
100, 0.997863, 0.973605
101, 0.997702, 0.971627
102, 0.997647, 0.969959
103, 0.997466, 0.96863
104, 0.997419, 0.967959
105, 0.997686, 0.965856
106, 0.99824, 0.964225
107, 0.998804, 0.96311
108, 0.999123, 0.96337
109, 0.99933, 0.962361
110, 0.99942, 0.960077
111, 0.999505, 0.957618
112, 0.999575, 0.955016
113, 0.999586, 0.953709
114, 0.999559, 0.953568
115, 0.999504, 0.95337
116, 0.999511, 0.956664
117, 0.999522, 0.958715
118, 0.999555, 0.960837
119, 0.999543, 0.961062
120, 0.999548, 0.960197
121, 0.99954, 0.96039
122, 0.999517, 0.961317
123, 0.999465, 0.963719
124, 0.999419, 0.966205
125, 0.999424, 0.969335
126, 0.999406, 0.973161
127, 0.999324, 0.974151
128, 0.999274, 0.973154
129, 0.999267, 0.97384
130, 0.99927, 0.972311
131, 0.99927, 0.971324
132, 0.99925, 0.971533
133, 0.999214, 0.972392
134, 0.999217, 0.969997
135, 0.999193, 0.966659
136, 0.999188, 0.964478
137, 0.999198, 0.964654
138, 0.999193, 0.965247
139, 0.999195, 0.967133
140, 0.999267, 0.968911
141, 0.999333, 0.967351
142, 0.999349, 0.96653
143, 0.999298, 0.965073
144, 0.999281, 0.965034
145, 0.999213, 0.963906
146, 0.999207, 0.964353
147, 0.999233, 0.964938
148, 0.999239, 0.965476
149, 0.999258, 0.965194
150, 0.999316, 0.964945
151, 0.999347, 0.963788
152, 0.999342, 0.96006
153, 0.999349, 0.962834
154, 0.999351, 0.963878
155, 0.999395, 0.965646
156, 0.999447, 0.966661
157, 0.999461, 0.969438
158, 0.999434, 0.971412
159, 0.999425, 0.975016
160, 0.999397, 0.975708
161, 0.999361, 0.971349
162, 0.999311, 0.970481
163, 0.999281, 0.96751
164, 0.999277, 0.967025
165, 0.9993, 0.965684
166, 0.999304, 0.963948
167, 0.999271, 0.960817
168, 0.999237, 0.960388
169, 0.999236, 0.96211
170, 0.99927, 0.966061
171, 0.999296, 0.96742
172, 0.99931, 0.968529
173, 0.999312, 0.968113
174, 0.999248, 0.96633
175, 0.999188, 0.965617
176, 0.999139, 0.964572
177, 0.999077, 0.965919
178, 0.999088, 0.9676
179, 0.999041, 0.971799
180, 0.999028, 0.972781
181, 0.998953, 0.972938
182, 0.99886, 0.973894
183, 0.998801, 0.974519
184, 0.998831, 0.975802
185, 0.99888, 0.977668
186, 0.998877, 0.979692
187, 0.998887, 0.980814
188, 0.998927, 0.983042
189, 0.998961, 0.983506
190, 0.998934, 0.981954
