index, AvgSSIM, MinSSIM
0, 0.998389, 0.992798
1, 0.995582, 0.981273
2, 0.993684, 0.971289
3, 0.992871, 0.964216
4, 0.99285, 0.962427
5, 0.993004, 0.961044
6, 0.993226, 0.95815
7, 0.993632, 0.958289
8, 0.994042, 0.959641
9, 0.994389, 0.960742
10, 0.994725, 0.963031
11, 0.995203, 0.963768
12, 0.995371, 0.963323
13, 0.99571, 0.963262
14, 0.995922, 0.964193
15, 0.995952, 0.964878
16, 0.995928, 0.965251
17, 0.996019, 0.963075
18, 0.996023, 0.961579
19, 0.995972, 0.959887
20, 0.996034, 0.957468
21, 0.996224, 0.957159
22, 0.996656, 0.959753
23, 0.997154, 0.969356
24, 0.997593, 0.97551
25, 0.997829, 0.977324
26, 0.998017, 0.979789
27, 0.998256, 0.981091
28, 0.998382, 0.981712
29, 0.99856, 0.983069
30, 0.998654, 0.9842
31, 0.998795, 0.985357
32, 0.998773, 0.985748
33, 0.998725, 0.984912
34, 0.998684, 0.985065
35, 0.998876, 0.98685
36, 0.999102, 0.987263
37, 0.999235, 0.986126
38, 0.999263, 0.986944
39, 0.999349, 0.988344
40, 0.999472, 0.989418
41, 0.999534, 0.989877
42, 0.99954, 0.988858
43, 0.999557, 0.988035
44, 0.99951, 0.987207
45, 0.999505, 0.986925
46, 0.999507, 0.987003
47, 0.999462, 0.984947
48, 0.999339, 0.98127
49, 0.999208, 0.975803
50, 0.999105, 0.974169
51, 0.999015, 0.973055
52, 0.998897, 0.972693
53, 0.998831, 0.974945
54, 0.999033, 0.980769
55, 0.999132, 0.987592
56, 0.999171, 0.990391
57, 0.999031, 0.991261
58, 0.998945, 0.991325
59, 0.999002, 0.992332
60, 0.999148, 0.992639
61, 0.999304, 0.993203
62, 0.999405, 0.992898
63, 0.999406, 0.994595
64, 0.999289, 0.993802
65, 0.998875, 0.992253
66, 0.998729, 0.991448
67, 0.998721, 0.99079
68, 0.998668, 0.99081
69, 0.998597, 0.990501
70, 0.998342, 0.988264
71, 0.997827, 0.985517
72, 0.997041, 0.982382
73, 0.996594, 0.98237
74, 0.996227, 0.982127
75, 0.995862, 0.981651
76, 0.995611, 0.978258
77, 0.995543, 0.977794
78, 0.995399, 0.976555
79, 0.995116, 0.975149
80, 0.995193, 0.973856
81, 0.995517, 0.975223
82, 0.996209, 0.978908
83, 0.996936, 0.982574
84, 0.997719, 0.987152
85, 0.998124, 0.987294
86, 0.998453, 0.987604
87, 0.998683, 0.989265
88, 0.998901, 0.992079
89, 0.99932, 0.993898
90, 0.999709, 0.996494
91, 0.999868, 0.997798
92, 0.999927, 0.996972
93, 0.999859, 0.994922
94, 0.999765, 0.992911
95, 0.999673, 0.991375
96, 0.999564, 0.989275
97, 0.999435, 0.988594
98, 0.999218, 0.986938
99, 0.998962, 0.988958
100, 0.998826, 0.988563
101, 0.998722, 0.989085
102, 0.998753, 0.988949
103, 0.998689, 0.990071
104, 0.998742, 0.990077
105, 0.999174, 0.988763
106, 0.999528, 0.989496
107, 0.999668, 0.987712
108, 0.999646, 0.987113
109, 0.999574, 0.989226
110, 0.999487, 0.989855
111, 0.99942, 0.989407
112, 0.999386, 0.989749
113, 0.99952, 0.992141
114, 0.999642, 0.993636
115, 0.999736, 0.995051
116, 0.999792, 0.995585
