index, AvgSSIM, MinSSIM
0, 0.99845, 0.992935
1, 0.994981, 0.980243
2, 0.991946, 0.967681
3, 0.989991, 0.959228
4, 0.989023, 0.955529
5, 0.988241, 0.952285
6, 0.987838, 0.947618
7, 0.987705, 0.945655
8, 0.987522, 0.94565
9, 0.98741, 0.945968
10, 0.987184, 0.945178
11, 0.987292, 0.944209
12, 0.987038, 0.940649
13, 0.987015, 0.937267
14, 0.986866, 0.941245
15, 0.986542, 0.940074
16, 0.986024, 0.936378
17, 0.9857, 0.932191
18, 0.985114, 0.930718
19, 0.98458, 0.927489
20, 0.984286, 0.926214
21, 0.984396, 0.923818
22, 0.984672, 0.925951
23, 0.98479, 0.930329
24, 0.984778, 0.928741
25, 0.98456, 0.928636
26, 0.98412, 0.927643
27, 0.983928, 0.926392
28, 0.9834, 0.928276
29, 0.983283, 0.92749
30, 0.983131, 0.926523
31, 0.983253, 0.929132
32, 0.98279, 0.926756
33, 0.982236, 0.926015
34, 0.981517, 0.922587
35, 0.981519, 0.927257
36, 0.981628, 0.930501
37, 0.981909, 0.930932
38, 0.981927, 0.932786
39, 0.982007, 0.930849
40, 0.982343, 0.93223
41, 0.982558, 0.930167
42, 0.98238, 0.928859
43, 0.982425, 0.928251
44, 0.982401, 0.926459
45, 0.982781, 0.923053
46, 0.983083, 0.917098
47, 0.982954, 0.912173
48, 0.982666, 0.911496
49, 0.982636, 0.906346
50, 0.982754, 0.902959
51, 0.983154, 0.902909
52, 0.983719, 0.902272
53, 0.983981, 0.887519
54, 0.984528, 0.894965
55, 0.985719, 0.90625
56, 0.986509, 0.915166
57, 0.987424, 0.910675
58, 0.988039, 0.913673
59, 0.988156, 0.925808
60, 0.988276, 0.926628
61, 0.987974, 0.923264
62, 0.987824, 0.929111
63, 0.988041, 0.931054
64, 0.988396, 0.933542
65, 0.989361, 0.938221
66, 0.989748, 0.936434
67, 0.989999, 0.936613
68, 0.989974, 0.927025
69, 0.990143, 0.915691
70, 0.991138, 0.918529
71, 0.992778, 0.92678
72, 0.994321, 0.933676
73, 0.995304, 0.932753
74, 0.996162, 0.939268
75, 0.996921, 0.950659
76, 0.997454, 0.961261
77, 0.997804, 0.964208
78, 0.998086, 0.965178
79, 0.998373, 0.968374
80, 0.998503, 0.971044
81, 0.998476, 0.972805
82, 0.998318, 0.971369
83, 0.99808, 0.965832
84, 0.997667, 0.963059
85, 0.997349, 0.96427
86, 0.996903, 0.960655
87, 0.99619, 0.954741
88, 0.995674, 0.952072
89, 0.995148, 0.950201
90, 0.99441, 0.95112
91, 0.993553, 0.952493
92, 0.992574, 0.951483
93, 0.991923, 0.951408
94, 0.99137, 0.94852
95, 0.990629, 0.944666
96, 0.990086, 0.939432
97, 0.989195, 0.934332
98, 0.987858, 0.932513
99, 0.986591, 0.939151
100, 0.985746, 0.942965
101, 0.98505, 0.939039
102, 0.984935, 0.936777
103, 0.985174, 0.939592
104, 0.985423, 0.940983
105, 0.987097, 0.942942
106, 0.988276, 0.942493
107, 0.988561, 0.939593
108, 0.989413, 0.938633
109, 0.990102, 0.938276
110, 0.991126, 0.940644
111, 0.991967, 0.94473
112, 0.992572, 0.948956
113, 0.992437, 0.948972
114, 0.992296, 0.949392
115, 0.992127, 0.949051
116, 0.992099, 0.94896
117, 0.992344, 0.94779
118, 0.992403, 0.951227
119, 0.992576, 0.950484
120, 0.992511, 0.947942
121, 0.992301, 0.949361
122, 0.992074, 0.951883
123, 0.991778, 0.949941
124, 0.991295, 0.950979
125, 0.99093, 0.951012
126, 0.990906, 0.950151
127, 0.990815, 0.949834
128, 0.990892, 0.947905
129, 0.991044, 0.950032
130, 0.991233, 0.949351
131, 0.991335, 0.949008
132, 0.991567, 0.952004
133, 0.991782, 0.952872
134, 0.992054, 0.956036
135, 0.992312, 0.961104
136, 0.992304, 0.963284
137, 0.992173, 0.962466
138, 0.992324, 0.961778
139, 0.992593, 0.963067
140, 0.992699, 0.96035
141, 0.993265, 0.962787
142, 0.993463, 0.960505
143, 0.993546, 0.962825
144, 0.993616, 0.965408
145, 0.993038, 0.959971
146, 0.992897, 0.954342
147, 0.993127, 0.956261
148, 0.9933, 0.958455
149, 0.993565, 0.956971
150, 0.993822, 0.959679
151, 0.994106, 0.963977
152, 0.994304, 0.969684
153, 0.994393, 0.970304
154, 0.9945, 0.967526
155, 0.994738, 0.969718
156, 0.99497, 0.968998
157, 0.995105, 0.967298
158, 0.995057, 0.965837
159, 0.994926, 0.967065
160, 0.994895, 0.966785
161, 0.994705, 0.965068
162, 0.994402, 0.964338
163, 0.994029, 0.961174
164, 0.99398, 0.959822
165, 0.993875, 0.961389
166, 0.993541, 0.957107
167, 0.993365, 0.95311
168, 0.993116, 0.947134
169, 0.992865, 0.945401
170, 0.99271, 0.945472
171, 0.992647, 0.942353
172, 0.992544, 0.938765
173, 0.992573, 0.93796
174, 0.992789, 0.936287
175, 0.992763, 0.934521
176, 0.992906, 0.941026
177, 0.992804, 0.937472
178, 0.992804, 0.938786
179, 0.992852, 0.939887
180, 0.992732, 0.937652
181, 0.992672, 0.939718
182, 0.992637, 0.94402
183, 0.992611, 0.950395
184, 0.992878, 0.953649
185, 0.992751, 0.955342
186, 0.992425, 0.95586
187, 0.99219, 0.955249
188, 0.991992, 0.957593
189, 0.991997, 0.959421
190, 0.992079, 0.959715
191, 0.991822, 0.958431
192, 0.991673, 0.958827
193, 0.991717, 0.959918
194, 0.991862, 0.960115
195, 0.992216, 0.960466
196, 0.992274, 0.959228
197, 0.992502, 0.960108
198, 0.992821, 0.961038
199, 0.992612, 0.961384
200, 0.992226, 0.959697
201, 0.991905, 0.957939
202, 0.991531, 0.956946
203, 0.991496, 0.956698
204, 0.991625, 0.957918
205, 0.991818, 0.959777
206, 0.991726, 0.959568
207, 0.991694, 0.959904
208, 0.991966, 0.959072
209, 0.992185, 0.961222
210, 0.992445, 0.962288
211, 0.992261, 0.959122
212, 0.99184, 0.949934
213, 0.991472, 0.943307
214, 0.991142, 0.942084
215, 0.991007, 0.943981
216, 0.990725, 0.939498
217, 0.99074, 0.93851
218, 0.990874, 0.936549
219, 0.990959, 0.935086
220, 0.990994, 0.937698
221, 0.99098, 0.938282
222, 0.99088, 0.93891
223, 0.990633, 0.938608
224, 0.990546, 0.94044
225, 0.99075, 0.943889
226, 0.990995, 0.945292
227, 0.991192, 0.946986
228, 0.991545, 0.950777
229, 0.991601, 0.949779
230, 0.991774, 0.951802
231, 0.991942, 0.950229
232, 0.992244, 0.950684
233, 0.992426, 0.948388
234, 0.992471, 0.947163
235, 0.992357, 0.946314
236, 0.9923, 0.949198
237, 0.992211, 0.948147
238, 0.992132, 0.945977
239, 0.991959, 0.94437
240, 0.991601, 0.943554
241, 0.99154, 0.944013
242, 0.991592, 0.943356
243, 0.991872, 0.942378
244, 0.99213, 0.945103
245, 0.992236, 0.947779
246, 0.992242, 0.948205
247, 0.992209, 0.949089
248, 0.992248, 0.947207
249, 0.992053, 0.948206
250, 0.992041, 0.946757
251, 0.992111, 0.94482
252, 0.992255, 0.945888
253, 0.992458, 0.948823
254, 0.992388, 0.947539
255, 0.992369, 0.948507
256, 0.992163, 0.9476
257, 0.991774, 0.944564
258, 0.991776, 0.94435
259, 0.991631, 0.944441
260, 0.991524, 0.94277
261, 0.991535, 0.940845
262, 0.991224, 0.938559
263, 0.991388, 0.939027
264, 0.991784, 0.940521
265, 0.99222, 0.943885
266, 0.992415, 0.94466
267, 0.992368, 0.946475
268, 0.992314, 0.947294
269, 0.992087, 0.94698
270, 0.992109, 0.946916
271, 0.992035, 0.947441
272, 0.992042, 0.948282
273, 0.99215, 0.948423
274, 0.992346, 0.950038
275, 0.992269, 0.950298
276, 0.992097, 0.951195
277, 0.991496, 0.951495
278, 0.99037, 0.947999
279, 0.989299, 0.942728
280, 0.988518, 0.938916
281, 0.98791, 0.937666
282, 0.987358, 0.935319
283, 0.986735, 0.932782
284, 0.986433, 0.931782
285, 0.985853, 0.931116
286, 0.985406, 0.930447
287, 0.985038, 0.930629
288, 0.984699, 0.929645
289, 0.984034, 0.928019
290, 0.983684, 0.926509
291, 0.983694, 0.927347
292, 0.984447, 0.926202
293, 0.985316, 0.931699
294, 0.985782, 0.934328
295, 0.985854, 0.93366
296, 0.985761, 0.934614
297, 0.985314, 0.933686
298, 0.984344, 0.931037
299, 0.983263, 0.927399
300, 0.9823, 0.925433
301, 0.981815, 0.923934
302, 0.981581, 0.916302
303, 0.981344, 0.909375
304, 0.981105, 0.904351
305, 0.980896, 0.902132
306, 0.980896, 0.898513
307, 0.980922, 0.89713
308, 0.980929, 0.895399
309, 0.981177, 0.895664
310, 0.981337, 0.89453
311, 0.981396, 0.893976
